Label,Timestamp,RawValue
RELAX,1760412,2281
RELAX,1760413,2309
RELAX,1760414,2306
RELAX,1760415,2310
RELAX,1760416,2314
RELAX,1760418,2311
RELAX,1760419,2316
RELAX,1760420,2319
RELAX,1760421,2320
RELAX,1760422,2317
RELAX,1760423,2307
RELAX,1760424,2297
RELAX,1760425,2275
RELAX,1760426,2252
RELAX,1760427,2215
RELAX,1760428,2194
RELAX,1760429,2162
RELAX,1760430,2131
RELAX,1760431,2117
RELAX,1760432,2081
RELAX,1760436,1947
RELAX,1760437,1918
RELAX,1760438,1892
RELAX,1760439,1870
RELAX,1760440,1855
RELAX,1760441,1845
RELAX,1760443,1866
RELAX,1760444,1886
RELAX,1760445,1909
RELAX,1760446,1935
RELAX,1760447,1952
RELAX,1760449,2000
RELAX,1760450,1973
RELAX,1760451,2017
RELAX,1760452,2016
RELAX,1760453,2010
RELAX,1760454,2001
RELAX,1760455,1991
RELAX,1760456,1979
RELAX,1760457,1962
RELAX,1760458,1942
RELAX,1760459,1920
RELAX,1760460,1893
RELAX,1760461,1874
RELAX,1760462,1868
RELAX,1760463,1853
RELAX,1760464,1831
RELAX,1760465,1798
RELAX,1760466,1767
RELAX,1760467,1731
RELAX,1760468,1723
RELAX,1760469,1669
RELAX,1760470,1651
RELAX,1760471,1634
RELAX,1760473,1607
RELAX,1760474,1587
RELAX,1760475,1578
RELAX,1760476,1564
RELAX,1760477,1558
RELAX,1760478,1557
RELAX,1760479,1567
RELAX,1760480,1589
RELAX,1760481,1611
RELAX,1760482,1618
RELAX,1760484,1630
RELAX,1760486,1658
RELAX,1760487,1674
RELAX,1760488,1678
RELAX,1760489,1692
RELAX,1760490,1705
RELAX,1760491,1712
RELAX,1760492,1721
RELAX,1760493,1709
RELAX,1760494,1735
RELAX,1760495,1744
RELAX,1760496,1755
RELAX,1760498,1776
RELAX,1760499,1789
RELAX,1760500,1799
RELAX,1760502,1828
RELAX,1760503,1820
RELAX,1760504,1840
RELAX,1760505,1838
RELAX,1760506,1827
RELAX,1760507,1819
RELAX,1760508,1809
RELAX,1760509,1827
RELAX,1760510,1792
RELAX,1760511,1789
RELAX,1760513,1791
RELAX,1760514,1769
RELAX,1760515,1763
RELAX,1760516,1750
RELAX,1760517,1741
RELAX,1760518,1733
RELAX,1760520,1719
RELAX,1760521,1713
RELAX,1760524,1698
RELAX,1760525,1685
RELAX,1760528,1710
RELAX,1760529,1677
RELAX,1760530,1671
RELAX,1760531,1655
RELAX,1760532,1655
RELAX,1760533,1659
RELAX,1760534,1649
RELAX,1760535,1655
RELAX,1760536,1678
RELAX,1760537,1619
RELAX,1760538,1639
RELAX,1760539,1632
RELAX,1760540,1626
RELAX,1760541,1616
RELAX,1760542,1606
RELAX,1760543,1598
RELAX,1760544,1584
RELAX,1760545,1574
RELAX,1760546,1555
RELAX,1760547,1535
RELAX,1760548,1523
RELAX,1760549,1514
RELAX,1760550,1509
RELAX,1760551,1488
RELAX,1760552,1473
RELAX,1760553,1461
RELAX,1760554,1485
RELAX,1760556,1418
RELAX,1760557,1409
RELAX,1760558,1387
RELAX,1760559,1383
RELAX,1760560,1355
RELAX,1760561,1356
RELAX,1760562,1373
RELAX,1760563,1325
RELAX,1760564,1311
RELAX,1760565,1296
RELAX,1760566,1282
RELAX,1760568,1259
RELAX,1760569,1247
RELAX,1760570,1237
RELAX,1760571,1232
RELAX,1760572,1231
RELAX,1760573,1226
RELAX,1760574,1221
RELAX,1760575,1214
RELAX,1760576,1207
RELAX,1760577,1200
RELAX,1760578,1191
RELAX,1760581,1162
RELAX,1760582,1152
RELAX,1760583,1138
RELAX,1760584,1124
RELAX,1760585,1115
RELAX,1760586,1098
RELAX,1760587,1088
RELAX,1760588,1073
RELAX,1760589,1058
RELAX,1760590,1041
RELAX,1760591,1017
RELAX,1760592,998
RELAX,1760593,978
RELAX,1760594,963
RELAX,1760596,946
RELAX,1760597,944
RELAX,1760598,942
RELAX,1760600,927
RELAX,1760601,918
RELAX,1760602,910
RELAX,1760603,895
RELAX,1760604,877
RELAX,1760605,858
RELAX,1760606,835
RELAX,1760607,820
RELAX,1760608,793
RELAX,1760609,773
RELAX,1760610,752
RELAX,1760611,727
RELAX,1760612,711
RELAX,1760614,667
RELAX,1760615,646
RELAX,1760616,630
RELAX,1760617,604
RELAX,1760618,586
RELAX,1760619,570
RELAX,1760620,544
RELAX,1760621,531
RELAX,1760622,502
RELAX,1760624,473
RELAX,1760625,482
RELAX,1760626,435
RELAX,1760627,433
RELAX,1760628,421
RELAX,1760629,414
RELAX,1760630,400
RELAX,1760631,391
RELAX,1760632,382
RELAX,1760633,375
RELAX,1760634,366
RELAX,1760635,356
RELAX,1760636,346
RELAX,1760638,338
RELAX,1760639,336
RELAX,1760640,333
RELAX,1760641,334
RELAX,1760642,331
RELAX,1760643,336
RELAX,1760644,327
RELAX,1760645,327
RELAX,1760646,325
RELAX,1760647,324
RELAX,1760648,323
RELAX,1760649,323
RELAX,1760650,324
RELAX,1760651,331
RELAX,1760652,336
RELAX,1760653,341
RELAX,1760656,376
RELAX,1760657,384
RELAX,1760658,396
RELAX,1760661,431
RELAX,1760662,443
RELAX,1760663,460
RELAX,1760665,494
RELAX,1760666,506
RELAX,1760667,526
RELAX,1760668,537
RELAX,1760669,548
RELAX,1760670,556
RELAX,1760672,565
RELAX,1760673,570
RELAX,1760675,587
RELAX,1760676,607
RELAX,1760677,635
RELAX,1760679,683
RELAX,1760680,719
RELAX,1760681,745
RELAX,1760682,762
RELAX,1760683,775
RELAX,1760684,785
RELAX,1760685,783
RELAX,1760686,780
RELAX,1760687,773
RELAX,1760688,769
RELAX,1760689,775
RELAX,1760690,781
RELAX,1760691,784
RELAX,1760692,791
RELAX,1760693,809
RELAX,1760694,821
RELAX,1760695,830
RELAX,1760696,833
RELAX,1760697,834
RELAX,1760698,843
RELAX,1760699,855
RELAX,1760700,886
RELAX,1760701,919
RELAX,1760702,957
RELAX,1760703,991
RELAX,1760704,1007
RELAX,1760705,1021
RELAX,1760706,1023
RELAX,1760707,1035
RELAX,1760709,1020
RELAX,1760710,1014
RELAX,1760711,1008
RELAX,1760712,1008
RELAX,1760713,1014
RELAX,1760714,1033
RELAX,1760715,1057
RELAX,1760717,1129
RELAX,1760718,1138
RELAX,1760719,1182
RELAX,1760720,1202
RELAX,1760721,1213
RELAX,1760722,1216
RELAX,1760723,1214
RELAX,1760724,1201
RELAX,1760725,1181
RELAX,1760726,1168
RELAX,1760727,1141
RELAX,1760728,1110
RELAX,1760729,1080
RELAX,1760730,1044
RELAX,1760731,1008
RELAX,1760732,971
RELAX,1760733,976
RELAX,1760734,914
RELAX,1760735,896
RELAX,1760736,877
RELAX,1760737,864
RELAX,1760738,859
RELAX,1760740,853
RELAX,1760741,881
RELAX,1760742,876
RELAX,1760743,893
RELAX,1760744,907
RELAX,1760745,922
RELAX,1760747,961
RELAX,1760748,982
RELAX,1760749,1006
RELAX,1760750,1034
RELAX,1760751,1049
RELAX,1760752,1078
RELAX,1760753,1099
RELAX,1760754,1111
RELAX,1760755,1133
RELAX,1760757,1137
RELAX,1760758,1126
RELAX,1760759,1135
RELAX,1760760,1152
RELAX,1760761,1130
RELAX,1760762,1132
RELAX,1760763,1136
RELAX,1760764,1159
RELAX,1760765,1136
RELAX,1760766,1138
RELAX,1760767,1141
RELAX,1760768,1141
RELAX,1760770,1219
RELAX,1760771,1231
RELAX,1760772,1281
RELAX,1760773,1360
RELAX,1760774,1392
RELAX,1760775,1424
RELAX,1760776,1433
RELAX,1760777,1431
RELAX,1760779,1425
RELAX,1760780,1421
RELAX,1760781,1424
RELAX,1760782,1426
RELAX,1760783,1433
RELAX,1760784,1415
RELAX,1760785,1449
RELAX,1760786,1454
RELAX,1760787,1451
RELAX,1760788,1441
RELAX,1760789,1430
RELAX,1760790,1413
RELAX,1760791,1398
RELAX,1760792,1397
RELAX,1760793,1419
RELAX,1760794,1446
RELAX,1760795,1484
RELAX,1760796,1535
RELAX,1760797,1607
RELAX,1760798,1657
RELAX,1760799,1686
RELAX,1760800,1695
RELAX,1760801,1694
RELAX,1760802,1689
RELAX,1760804,1690
RELAX,1760806,1681
RELAX,1760807,1679
RELAX,1760808,1681
RELAX,1760809,1683
RELAX,1760810,1685
RELAX,1760811,1691
RELAX,1760812,1696
RELAX,1760813,1698
RELAX,1760814,1699
RELAX,1760815,1700
RELAX,1760816,1706
RELAX,1760817,1711
RELAX,1760818,1721
RELAX,1760819,1743
RELAX,1760820,1771
RELAX,1760821,1801
RELAX,1760822,1821
RELAX,1760823,1827
RELAX,1760824,1833
RELAX,1760825,1830
RELAX,1760826,1826
RELAX,1760827,1819
RELAX,1760828,1822
RELAX,1760829,1839
RELAX,1760830,1843
RELAX,1760832,1878
RELAX,1760833,1888
RELAX,1760835,1891
RELAX,1760836,1880
RELAX,1760837,1866
RELAX,1760838,1840
RELAX,1760839,1817
RELAX,1760840,1799
RELAX,1760842,1760
RELAX,1760843,1751
RELAX,1760844,1759
RELAX,1760845,1767
RELAX,1760846,1789
RELAX,1760847,1823
RELAX,1760848,1826
RELAX,1760850,1809
RELAX,1760851,1830
RELAX,1760852,1884
RELAX,1760853,1963
RELAX,1760854,2035
RELAX,1760855,2090
RELAX,1760856,2096
RELAX,1760858,2069
RELAX,1760859,2055
RELAX,1760860,2035
RELAX,1760861,1999
RELAX,1760862,1953
RELAX,1760863,1904
RELAX,1760864,1869
RELAX,1760865,1853
RELAX,1760866,1856
RELAX,1760868,1915
RELAX,1760869,1947
RELAX,1760870,1955
RELAX,1760872,1929
RELAX,1760873,1901
RELAX,1760874,1905
RELAX,1760875,1943
RELAX,1760876,2016
RELAX,1760877,2112
RELAX,1760878,2217
RELAX,1760880,2348
RELAX,1760881,2359
RELAX,1760882,2335
RELAX,1760883,2307
RELAX,1760884,2257
RELAX,1760885,2211
RELAX,1760886,2165
RELAX,1760887,2118
RELAX,1760888,2081
RELAX,1760889,2043
RELAX,1760890,2026
RELAX,1760891,2019
RELAX,1760893,2017
RELAX,1760894,2001
RELAX,1760895,1973
RELAX,1760896,1959
RELAX,1760897,1988
RELAX,1760898,2099
RELAX,1760899,2231
RELAX,1760900,2322
RELAX,1760901,2368
RELAX,1760905,2409
RELAX,1760906,2384
RELAX,1760907,2339
RELAX,1760909,2128
RELAX,1760910,2001
RELAX,1760911,1909
RELAX,1760912,1881
RELAX,1760913,1921
RELAX,1760914,2009
RELAX,1760915,2125
RELAX,1760916,2251
RELAX,1760917,2383
RELAX,1760918,2496
RELAX,1760919,2589
RELAX,1760920,2643
RELAX,1760921,2655
RELAX,1760922,2602
RELAX,1760923,2482
RELAX,1760924,2352
RELAX,1760925,2214
RELAX,1760926,2075
RELAX,1760927,1934
RELAX,1760928,1842
RELAX,1760929,1842
RELAX,1760930,1938
RELAX,1760931,2115
RELAX,1760933,2559
RELAX,1760934,2707
RELAX,1760935,2748
RELAX,1760936,2710
RELAX,1760937,2550
RELAX,1760938,2448
RELAX,1760939,2433
RELAX,1760940,2512
RELAX,1760941,2666
RELAX,1760942,2796
RELAX,1760943,2832
RELAX,1760944,2781
RELAX,1760945,2649
RELAX,1760946,2454
RELAX,1760947,2238
RELAX,1760948,2058
RELAX,1760950,1995
RELAX,1760951,2125
RELAX,1760952,2327
RELAX,1760953,2525
RELAX,1760955,2800
RELAX,1760956,2929
RELAX,1760957,3012
RELAX,1760958,3045
RELAX,1760959,3031
RELAX,1760960,2969
RELAX,1760961,2882
RELAX,1760962,2794
RELAX,1760963,2699
RELAX,1760964,2559
RELAX,1760965,2434
RELAX,1760966,2334
RELAX,1760967,2288
RELAX,1760968,2340
RELAX,1760969,2448
RELAX,1760970,2592
RELAX,1760971,2718
RELAX,1760973,2932
RELAX,1760974,3059
RELAX,1760975,3213
RELAX,1760976,3317
RELAX,1760978,3355
RELAX,1760979,3313
RELAX,1760980,3274
RELAX,1760982,3165
RELAX,1760983,3124
RELAX,1760984,3129
RELAX,1760985,3121
RELAX,1760986,3014
RELAX,1760987,2945
RELAX,1760988,2779
RELAX,1760989,2592
RELAX,1760990,2559
RELAX,1760991,2703
RELAX,1760992,2903
RELAX,1760994,3420
RELAX,1760995,3597
RELAX,1760997,3638
RELAX,1760998,3558
RELAX,1760999,3455
RELAX,1761000,3274
RELAX,1761001,3165
RELAX,1761002,3149
RELAX,1761003,3188
RELAX,1761005,3313
RELAX,1761006,3335
RELAX,1761007,3307
RELAX,1761008,3242
RELAX,1761009,3135
RELAX,1761010,3004
RELAX,1761011,2882
RELAX,1761012,2809
RELAX,1761013,2801
RELAX,1761014,2884
RELAX,1761015,3013
RELAX,1761017,3282
RELAX,1761018,3411
RELAX,1761019,3518
RELAX,1761020,3537
RELAX,1761021,3562
RELAX,1761022,3503
RELAX,1761023,3437
RELAX,1761024,3369
RELAX,1761025,3315
RELAX,1761026,3283
RELAX,1761027,3260
RELAX,1761028,3243
RELAX,1761029,3266
RELAX,1761030,3345
RELAX,1761032,3514
RELAX,1761033,3546
RELAX,1761035,3571
RELAX,1761036,3583
RELAX,1761037,3621
RELAX,1761038,3643
RELAX,1761039,3621
RELAX,1761040,3610
RELAX,1761041,3638
RELAX,1761043,3648
RELAX,1761044,3598
RELAX,1761045,3583
RELAX,1761046,3649
RELAX,1761047,3729
RELAX,1761048,3792
RELAX,1761049,3867
RELAX,1761050,3926
RELAX,1761051,3957
RELAX,1761053,3920
RELAX,1761054,3824
RELAX,1761055,3708
RELAX,1761056,3602
RELAX,1761057,3538
RELAX,1761058,3507
RELAX,1761059,3509
RELAX,1761061,3564
RELAX,1761062,3583
RELAX,1761064,3663
RELAX,1761065,3658
RELAX,1761066,3766
RELAX,1761067,3831
RELAX,1761068,3883
RELAX,1761069,3917
RELAX,1761070,3922
RELAX,1761071,3913
RELAX,1761072,3949
RELAX,1761073,3840
RELAX,1761074,3827
RELAX,1761075,3789
RELAX,1761076,3760
RELAX,1761077,3718
RELAX,1761078,3653
RELAX,1761079,3583
RELAX,1761080,3536
RELAX,1761081,3508
RELAX,1761082,3520
RELAX,1761083,3536
RELAX,1761085,3600
RELAX,1761086,3655
RELAX,1761087,3711
RELAX,1761088,3750
RELAX,1761089,3773
RELAX,1761090,3776
RELAX,1761091,3743
RELAX,1761093,3678
RELAX,1761094,3675
RELAX,1761095,3662
RELAX,1761096,3647
RELAX,1761097,3648
RELAX,1761098,3666
RELAX,1761099,3718
RELAX,1761100,3839
RELAX,1761101,4005
RELAX,1761102,4095
RELAX,1761103,4095
RELAX,1761104,4095
RELAX,1761105,4095
RELAX,1761107,4095
RELAX,1761108,4095
RELAX,1761109,4041
RELAX,1761110,3959
RELAX,1761111,3894
RELAX,1761112,3818
RELAX,1761113,3774
RELAX,1761114,3779
RELAX,1761115,3824
RELAX,1761116,3897
RELAX,1761118,4067
RELAX,1761119,4095
RELAX,1761120,4095
RELAX,1761121,4095
RELAX,1761122,4095
RELAX,1761123,4095
RELAX,1761124,4095
RELAX,1761125,4095
RELAX,1761126,4095
RELAX,1761127,4095
RELAX,1761129,4095
RELAX,1761130,4095
RELAX,1761131,4095
RELAX,1761132,4095
RELAX,1761135,4095
RELAX,1761136,4095
RELAX,1761137,4095
RELAX,1761138,4095
RELAX,1761139,4095
RELAX,1761140,4095
RELAX,1761141,4095
RELAX,1761142,4095
RELAX,1761143,4095
RELAX,1761144,4095
RELAX,1761145,4095
RELAX,1761146,4095
RELAX,1761147,4095
RELAX,1761148,4095
RELAX,1761149,4095
RELAX,1761150,4095
RELAX,1761152,4095
RELAX,1761153,4095
RELAX,1761154,4095
RELAX,1761156,4095
RELAX,1761157,4095
RELAX,1761158,4095
RELAX,1761159,4095
RELAX,1761161,4095
RELAX,1761162,4095
RELAX,1761163,4095
RELAX,1761164,4095
RELAX,1761165,4095
RELAX,1761166,4095
RELAX,1761167,4095
RELAX,1761168,4095
RELAX,1761169,4095
RELAX,1761170,4095
