Label,Timestamp,RawValue
RELAX,125109,2277
RELAX,125110,2275
RELAX,125111,2271
RELAX,125113,2269
RELAX,125114,2261
RELAX,125115,2259
RELAX,125116,2256
RELAX,125117,2257
RELAX,125118,2256
RELAX,125121,2256
RELAX,125122,2258
RELAX,125123,2259
RELAX,125124,2259
RELAX,125125,2263
RELAX,125126,2267
RELAX,125127,2268
RELAX,125128,2265
RELAX,125129,2262
RELAX,125130,2257
RELAX,125131,2266
RELAX,125132,2260
RELAX,125133,2256
RELAX,125134,2256
RELAX,125135,2245
RELAX,125136,2241
RELAX,125137,2240
RELAX,125138,2238
RELAX,125139,2238
RELAX,125140,2237
RELAX,125141,2233
RELAX,125142,2229
RELAX,125143,2235
RELAX,125144,2246
RELAX,125145,2255
RELAX,125146,2259
RELAX,125147,2266
RELAX,125148,2269
RELAX,125149,2277
RELAX,125150,2277
RELAX,125152,2275
RELAX,125154,2275
RELAX,125155,2272
RELAX,125156,2273
RELAX,125157,2272
RELAX,125159,2266
RELAX,125160,2263
RELAX,125162,2260
RELAX,125163,2259
RELAX,125164,2264
RELAX,125166,2265
RELAX,125167,2261
RELAX,125168,2257
RELAX,125171,2252
RELAX,125172,2250
RELAX,125173,2247
RELAX,125176,2243
RELAX,125177,2241
RELAX,125179,2243
RELAX,125180,2240
RELAX,125181,2240
RELAX,125182,2237
RELAX,125183,2238
RELAX,125184,2240
RELAX,125185,2239
RELAX,125186,2235
RELAX,125187,2243
RELAX,125188,2242
RELAX,125189,2243
RELAX,125190,2246
RELAX,125191,2243
RELAX,125192,2247
RELAX,125193,2244
RELAX,125194,2249
RELAX,125195,2250
RELAX,125198,2234
RELAX,125199,2242
RELAX,125200,2241
RELAX,125201,2239
RELAX,125202,2240
RELAX,125203,2240
RELAX,125204,2239
RELAX,125205,2249
RELAX,125206,2247
RELAX,125207,2253
RELAX,125208,2256
RELAX,125209,2256
RELAX,125210,2239
RELAX,125211,2278
RELAX,125212,2238
RELAX,125213,2251
RELAX,125214,2253
RELAX,125215,2240
RELAX,125216,2239
RELAX,125217,2237
RELAX,125218,2256
RELAX,125219,2226
RELAX,125220,2224
RELAX,125221,2219
RELAX,125223,2203
RELAX,125224,2191
RELAX,125225,2199
RELAX,125226,2207
RELAX,125227,2207
RELAX,125228,2211
RELAX,125229,2215
RELAX,125230,2218
RELAX,125231,2217
RELAX,125232,2227
RELAX,125233,2218
RELAX,125234,2222
RELAX,125235,2224
RELAX,125236,2217
RELAX,125237,2234
RELAX,125238,2240
RELAX,125239,2242
RELAX,125240,2249
RELAX,125241,2267
RELAX,125244,2259
RELAX,125245,2256
RELAX,125246,2258
RELAX,125248,2219
RELAX,125249,2219
RELAX,125250,2235
RELAX,125251,2227
RELAX,125252,2223
RELAX,125253,2211
RELAX,125254,2206
RELAX,125255,2202
RELAX,125256,2198
RELAX,125257,2195
RELAX,125258,2203
RELAX,125260,2223
RELAX,125261,2195
RELAX,125262,2223
RELAX,125263,2224
RELAX,125264,2228
RELAX,125265,2224
RELAX,125266,2182
RELAX,125267,2183
RELAX,125269,2189
RELAX,125271,2186
RELAX,125272,2182
RELAX,125273,2176
