Label,Timestamp,RawValue
RELAX,494971,1863
RELAX,494972,1870
RELAX,494974,1872
RELAX,494975,1872
RELAX,494977,1877
RELAX,494978,1872
RELAX,494980,1870
RELAX,494981,1867
RELAX,494982,1867
RELAX,494985,1862
RELAX,494986,1861
RELAX,494987,1858
RELAX,494988,1857
RELAX,494990,1853
RELAX,494991,1855
RELAX,494992,1852
RELAX,494993,1852
RELAX,494994,1853
RELAX,494995,1854
RELAX,494996,1857
RELAX,494997,1863
RELAX,494998,1864
RELAX,494999,1866
RELAX,495000,1863
RELAX,495001,1866
RELAX,495002,1866
RELAX,495004,1861
RELAX,495005,1859
RELAX,495007,1853
RELAX,495008,1855
RELAX,495009,1853
RELAX,495010,1852
RELAX,495011,1850
RELAX,495013,1847
RELAX,495014,1847
RELAX,495015,1850
RELAX,495016,1846
RELAX,495017,1846
RELAX,495019,1847
RELAX,495020,1844
RELAX,495022,1842
RELAX,495023,1839
RELAX,495024,1841
RELAX,495025,1842
RELAX,495026,1842
RELAX,495028,1845
RELAX,495029,1843
RELAX,495030,1845
RELAX,495031,1845
RELAX,495032,1853
RELAX,495033,1845
RELAX,495034,1847
RELAX,495035,1844
RELAX,495036,1856
RELAX,495037,1842
RELAX,495038,1863
RELAX,495039,1839
RELAX,495040,1839
RELAX,495041,1839
RELAX,495043,1837
RELAX,495044,1837
RELAX,495045,1837
RELAX,495046,1840
RELAX,495047,1840
RELAX,495048,1830
RELAX,495050,1811
RELAX,495051,1843
RELAX,495052,1840
RELAX,495053,1838
RELAX,495054,1839
RELAX,495055,1838
RELAX,495056,1837
RELAX,495059,1831
RELAX,495060,1827
RELAX,495061,1831
RELAX,495062,1831
RELAX,495063,1835
RELAX,495064,1830
RELAX,495065,1835
RELAX,495066,1839
RELAX,495067,1840
RELAX,495068,1840
RELAX,495069,1840
RELAX,495070,1840
RELAX,495071,1840
RELAX,495072,1839
RELAX,495073,1840
RELAX,495074,1840
RELAX,495075,1840
RELAX,495076,1843
RELAX,495077,1838
RELAX,495078,1847
RELAX,495079,1849
RELAX,495080,1825
RELAX,495081,1853
RELAX,495082,1852
RELAX,495085,1846
RELAX,495086,1850
RELAX,495087,1850
RELAX,495088,1847
RELAX,495089,1845
RELAX,495090,1851
RELAX,495091,1846
RELAX,495092,1845
RELAX,495093,1841
RELAX,495094,1845
RELAX,495095,1841
RELAX,495096,1840
RELAX,495097,1842
RELAX,495098,1841
RELAX,495099,1840
RELAX,495100,1840
RELAX,495101,1837
RELAX,495102,1835
RELAX,495103,1831
RELAX,495104,1825
RELAX,495105,1822
RELAX,495106,1815
RELAX,495107,1811
RELAX,495108,1808
RELAX,495111,1804
RELAX,495113,1807
RELAX,495114,1807
RELAX,495115,1808
RELAX,495116,1806
RELAX,495117,1807
RELAX,495118,1803
RELAX,495119,1803
RELAX,495121,1798
RELAX,495122,1794
RELAX,495123,1794
RELAX,495124,1793
RELAX,495125,1794
RELAX,495127,1791
RELAX,495128,1789
RELAX,495130,1788
RELAX,495131,1788
RELAX,495132,1787
RELAX,495133,1785
RELAX,495135,1777
RELAX,495136,1776
RELAX,495137,1773
RELAX,495138,1770
RELAX,495139,1766
RELAX,495140,1762
RELAX,495141,1761
RELAX,495142,1760
RELAX,495143,1762
RELAX,495144,1763
RELAX,495145,1761
RELAX,495146,1757
RELAX,495148,1751
RELAX,495149,1751
RELAX,495150,1751
RELAX,495151,1753
RELAX,495152,1753
RELAX,495153,1750
RELAX,495154,1744
RELAX,495156,1739
RELAX,495157,1734
RELAX,495158,1729
RELAX,495159,1731
RELAX,495160,1732
RELAX,495161,1735
RELAX,495162,1731
RELAX,495163,1743
RELAX,495164,1744
RELAX,495165,1746
RELAX,495166,1749
RELAX,495168,1746
RELAX,495169,1749
RELAX,495170,1746
RELAX,495171,1747
RELAX,495174,1744
RELAX,495175,1744
RELAX,495178,1743
RELAX,495179,1741
RELAX,495180,1734
RELAX,495181,1731
RELAX,495182,1738
RELAX,495184,1739
RELAX,495186,1741
RELAX,495187,1740
RELAX,495188,1738
RELAX,495190,1735
RELAX,495192,1735
RELAX,495193,1742
RELAX,495194,1743
RELAX,495195,1744
RELAX,495196,1744
RELAX,495197,1746
RELAX,495198,1747
RELAX,495199,1750
RELAX,495200,1747
RELAX,495201,1747
RELAX,495202,1746
RELAX,495203,1745
RELAX,495204,1746
RELAX,495205,1744
RELAX,495206,1743
